name,date,PX_LAST
CHFEUR BGN Curncy,2004-01-01,0.6406
CHFEUR BGN Curncy,2004-01-02,0.6412
CHFEUR BGN Curncy,2004-01-05,0.64
CHFEUR BGN Curncy,2004-01-06,0.638
CHFEUR BGN Curncy,2004-01-07,0.638
CHFEUR BGN Curncy,2004-01-08,0.6388
CHFEUR BGN Curncy,2004-01-09,0.6384
CHFEUR BGN Curncy,2004-01-12,0.6388
CHFEUR BGN Curncy,2004-01-13,0.6412
CHFEUR BGN Curncy,2004-01-14,0.6414
CHFEUR BGN Curncy,2004-01-15,0.6382
CHFEUR BGN Curncy,2004-01-16,0.638
CHFEUR BGN Curncy,2004-01-19,0.6372
CHFEUR BGN Curncy,2004-01-20,0.6374
CHFEUR BGN Curncy,2004-01-21,0.6379
CHFEUR BGN Curncy,2004-01-22,0.6379
CHFEUR BGN Curncy,2004-01-23,0.6396
CHFEUR BGN Curncy,2004-01-26,0.6381
CHFEUR BGN Curncy,2004-01-27,0.6382
CHFEUR BGN Curncy,2004-01-28,0.6381
CHFEUR BGN Curncy,2004-01-29,0.6399
CHFEUR BGN Curncy,2004-01-30,0.6379
CHFEUR BGN Curncy,2004-02-02,0.6378
CHFEUR BGN Curncy,2004-02-03,0.6384
CHFEUR BGN Curncy,2004-02-04,0.6379
CHFEUR BGN Curncy,2004-02-05,0.6374
CHFEUR BGN Curncy,2004-02-06,0.6378
CHFEUR BGN Curncy,2004-02-09,0.6377
CHFEUR BGN Curncy,2004-02-10,0.6372
CHFEUR BGN Curncy,2004-02-11,0.6337
CHFEUR BGN Curncy,2004-02-12,0.6341
CHFEUR BGN Curncy,2004-02-13,0.6338
CHFEUR BGN Curncy,2004-02-16,0.6347
CHFEUR BGN Curncy,2004-02-17,0.6349
CHFEUR BGN Curncy,2004-02-18,0.6347
CHFEUR BGN Curncy,2004-02-19,0.6346
CHFEUR BGN Curncy,2004-02-20,0.6335
CHFEUR BGN Curncy,2004-02-23,0.6336
CHFEUR BGN Curncy,2004-02-24,0.636
CHFEUR BGN Curncy,2004-02-25,0.6354
CHFEUR BGN Curncy,2004-02-26,0.6344
CHFEUR BGN Curncy,2004-02-27,0.6341
CHFEUR BGN Curncy,2004-03-01,0.6337
CHFEUR BGN Curncy,2004-03-02,0.6316
CHFEUR BGN Curncy,2004-03-03,0.6341
CHFEUR BGN Curncy,2004-03-04,0.6341
CHFEUR BGN Curncy,2004-03-05,0.6336
CHFEUR BGN Curncy,2004-03-08,0.6325
CHFEUR BGN Curncy,2004-03-09,0.6333
