name,date,PX_LAST
GBPEUR BGN Curncy,2004-01-01,1.4211
GBPEUR BGN Curncy,2004-01-02,1.425
GBPEUR BGN Curncy,2004-01-05,1.4251
GBPEUR BGN Curncy,2004-01-06,1.431
GBPEUR BGN Curncy,2004-01-07,1.4391
GBPEUR BGN Curncy,2004-01-08,1.4361
GBPEUR BGN Curncy,2004-01-09,1.4415
GBPEUR BGN Curncy,2004-01-12,1.4481
GBPEUR BGN Curncy,2004-01-13,1.4461
GBPEUR BGN Curncy,2004-01-14,1.4491
GBPEUR BGN Curncy,2004-01-15,1.4489
GBPEUR BGN Curncy,2004-01-16,1.4514
GBPEUR BGN Curncy,2004-01-19,1.4439
GBPEUR BGN Curncy,2004-01-20,1.447
GBPEUR BGN Curncy,2004-01-21,1.4491
GBPEUR BGN Curncy,2004-01-22,1.4503
GBPEUR BGN Curncy,2004-01-23,1.4513
GBPEUR BGN Curncy,2004-01-26,1.4564
GBPEUR BGN Curncy,2004-01-27,1.4454
GBPEUR BGN Curncy,2004-01-28,1.4586
GBPEUR BGN Curncy,2004-01-29,1.4633
GBPEUR BGN Curncy,2004-01-30,1.4613
GBPEUR BGN Curncy,2004-02-02,1.4645
GBPEUR BGN Curncy,2004-02-03,1.4663
GBPEUR BGN Curncy,2004-02-04,1.4611
GBPEUR BGN Curncy,2004-02-05,1.4617
GBPEUR BGN Curncy,2004-02-06,1.4542
GBPEUR BGN Curncy,2004-02-09,1.4652
GBPEUR BGN Curncy,2004-02-10,1.4739
GBPEUR BGN Curncy,2004-02-11,1.4736
GBPEUR BGN Curncy,2004-02-12,1.477
GBPEUR BGN Curncy,2004-02-13,1.4793
GBPEUR BGN Curncy,2004-02-16,1.4805
GBPEUR BGN Curncy,2004-02-17,1.4834
GBPEUR BGN Curncy,2004-02-18,1.4887
GBPEUR BGN Curncy,2004-02-19,1.4898
GBPEUR BGN Curncy,2004-02-20,1.4845
GBPEUR BGN Curncy,2004-02-23,1.4874
GBPEUR BGN Curncy,2004-02-24,1.4911
GBPEUR BGN Curncy,2004-02-25,1.4961
GBPEUR BGN Curncy,2004-02-26,1.4969
GBPEUR BGN Curncy,2004-02-27,1.4958
GBPEUR BGN Curncy,2004-03-01,1.5008
GBPEUR BGN Curncy,2004-03-02,1.5059
GBPEUR BGN Curncy,2004-03-03,1.4995
GBPEUR BGN Curncy,2004-03-04,1.4945
GBPEUR BGN Curncy,2004-03-05,1.4932
GBPEUR BGN Curncy,2004-03-08,1.4887
GBPEUR BGN Curncy,2004-03-09,1.482
GBPEUR BGN Curncy,2004-03-10,1.4745
GBPEUR BGN Curncy,2004-03-11,1.4665
GBPEUR BGN Curncy,2004-03-12,1.4756
GBPEUR BGN Curncy,2004-03-15,1.472
GBPEUR BGN Curncy,2004-03-16,1.4764
GBPEUR BGN Curncy,2004-03-17,1.4846
GBPEUR BGN Curncy,2004-03-18,1.4813
GBPEUR BGN Curncy,2004-03-19,1.4924
GBPEUR BGN Curncy,2004-03-22,1.4978
GBPEUR BGN Curncy,2004-03-23,1.4994
GBPEUR BGN Curncy,2004-03-24,1.5047
GBPEUR BGN Curncy,2004-03-25,1.4898
GBPEUR BGN Curncy,2004-03-26,1.4967
GBPEUR BGN Curncy,2004-03-29,1.4962
GBPEUR BGN Curncy,2004-03-30,1.5012
GBPEUR BGN Curncy,2004-03-31,1.499
GBPEUR BGN Curncy,2004-04-01,1.502
GBPEUR BGN Curncy,2004-04-02,1.5083
GBPEUR BGN Curncy,2004-04-05,1.5152
GBPEUR BGN Curncy,2004-04-06,1.5216
GBPEUR BGN Curncy,2004-04-07,1.5113
GBPEUR BGN Curncy,2004-04-08,1.5174
GBPEUR BGN Curncy,2004-04-09,1.5165
GBPEUR BGN Curncy,2004-04-12,1.5227
GBPEUR BGN Curncy,2004-04-13,1.5226
GBPEUR BGN Curncy,2004-04-14,1.4975
GBPEUR BGN Curncy,2004-04-15,1.4956
GBPEUR BGN Curncy,2004-04-16,1.4992
GBPEUR BGN Curncy,2004-04-19,1.5043
GBPEUR BGN Curncy,2004-04-20,1.505
GBPEUR BGN Curncy,2004-04-21,1.4988
GBPEUR BGN Curncy,2004-04-22,1.4917
GBPEUR BGN Curncy,2004-04-23,1.4962
GBPEUR BGN Curncy,2004-04-26,1.5058
GBPEUR BGN Curncy,2004-04-27,1.5016
GBPEUR BGN Curncy,2004-04-28,1.4959
GBPEUR BGN Curncy,2004-04-29,1.4825
GBPEUR BGN Curncy,2004-04-30,1.4844
GBPEUR BGN Curncy,2004-05-03,1.4837
GBPEUR BGN Curncy,2004-05-04,1.4848
GBPEUR BGN Curncy,2004-05-05,1.4728
GBPEUR BGN Curncy,2004-05-06,1.4867
GBPEUR BGN Curncy,2004-05-07,1.5033
GBPEUR BGN Curncy,2004-05-10,1.4996
GBPEUR BGN Curncy,2004-05-11,1.4789
GBPEUR BGN Curncy,2004-05-12,1.4898
GBPEUR BGN Curncy,2004-05-13,1.4908
GBPEUR BGN Curncy,2004-05-14,1.4813
GBPEUR BGN Curncy,2004-05-17,1.4714
GBPEUR BGN Curncy,2004-05-18,1.4793
GBPEUR BGN Curncy,2004-05-19,1.485
GBPEUR BGN Curncy,2004-05-20,1.4854
GBPEUR BGN Curncy,2004-05-21,1.4939
GBPEUR BGN Curncy,2004-05-24,1.4905
GBPEUR BGN Curncy,2004-05-25,1.4977
GBPEUR BGN Curncy,2004-05-26,1.4987
GBPEUR BGN Curncy,2004-05-27,1.4977
GBPEUR BGN Curncy,2004-05-28,1.4995
GBPEUR BGN Curncy,2004-05-31,1.5032
GBPEUR BGN Curncy,2004-06-01,1.5018
GBPEUR BGN Curncy,2004-06-02,1.502
GBPEUR BGN Curncy,2004-06-03,1.505
GBPEUR BGN Curncy,2004-06-04,1.4984
GBPEUR BGN Curncy,2004-06-07,1.4944
GBPEUR BGN Curncy,2004-06-08,1.4963
GBPEUR BGN Curncy,2004-06-09,1.5188
GBPEUR BGN Curncy,2004-06-10,1.5224
GBPEUR BGN Curncy,2004-06-11,1.515
GBPEUR BGN Curncy,2004-06-14,1.5027
GBPEUR BGN Curncy,2004-06-15,1.507
GBPEUR BGN Curncy,2004-06-16,1.5217
GBPEUR BGN Curncy,2004-06-17,1.5222
GBPEUR BGN Curncy,2004-06-18,1.5145
GBPEUR BGN Curncy,2004-06-21,1.512
GBPEUR BGN Curncy,2004-06-22,1.5036
GBPEUR BGN Curncy,2004-06-23,1.5022
GBPEUR BGN Curncy,2004-06-24,1.4993
GBPEUR BGN Curncy,2004-06-25,1.5003
GBPEUR BGN Curncy,2004-06-28,1.502
GBPEUR BGN Curncy,2004-06-29,1.4959
GBPEUR BGN Curncy,2004-06-30,1.4918
GBPEUR BGN Curncy,2004-07-01,1.4964
GBPEUR BGN Curncy,2004-07-02,1.4877
GBPEUR BGN Curncy,2004-07-05,1.4885
GBPEUR BGN Curncy,2004-07-06,1.4994
GBPEUR BGN Curncy,2004-07-07,1.5
GBPEUR BGN Curncy,2004-07-08,1.4933
GBPEUR BGN Curncy,2004-07-09,1.4978
GBPEUR BGN Curncy,2004-07-12,1.5008
GBPEUR BGN Curncy,2004-07-13,1.5067
GBPEUR BGN Curncy,2004-07-14,1.4991
GBPEUR BGN Curncy,2004-07-15,1.4999
GBPEUR BGN Curncy,2004-07-16,1.5042
GBPEUR BGN Curncy,2004-07-19,1.501
GBPEUR BGN Curncy,2004-07-20,1.5026
GBPEUR BGN Curncy,2004-07-21,1.5019
GBPEUR BGN Curncy,2004-07-22,1.5041
GBPEUR BGN Curncy,2004-07-23,1.5151
GBPEUR BGN Curncy,2004-07-26,1.5163
GBPEUR BGN Curncy,2004-07-27,1.511
GBPEUR BGN Curncy,2004-07-28,1.5137
GBPEUR BGN Curncy,2004-07-29,1.5083
GBPEUR BGN Curncy,2004-07-30,1.5141
GBPEUR BGN Curncy,2004-08-02,1.5194
GBPEUR BGN Curncy,2004-08-03,1.5144
GBPEUR BGN Curncy,2004-08-04,1.515
GBPEUR BGN Curncy,2004-08-05,1.5126
GBPEUR BGN Curncy,2004-08-06,1.4994
GBPEUR BGN Curncy,2004-08-09,1.5003
GBPEUR BGN Curncy,2004-08-10,1.4931
GBPEUR BGN Curncy,2004-08-11,1.4974
GBPEUR BGN Curncy,2004-08-12,1.4871
GBPEUR BGN Curncy,2004-08-13,1.4889
