name,date,PX_LAST
RONEUR BGN Curncy,2004-01-01,0.2445
RONEUR BGN Curncy,2004-01-02,0.2433
RONEUR BGN Curncy,2004-01-05,0.2421
RONEUR BGN Curncy,2004-01-06,0.2416
RONEUR BGN Curncy,2004-01-07,0.2433
RONEUR BGN Curncy,2004-01-08,0.2408
RONEUR BGN Curncy,2004-01-09,0.2412
RONEUR BGN Curncy,2004-01-12,0.2432
RONEUR BGN Curncy,2004-01-13,0.2413
RONEUR BGN Curncy,2004-01-14,0.2426
RONEUR BGN Curncy,2004-01-15,0.2431
RONEUR BGN Curncy,2004-01-16,0.2435
RONEUR BGN Curncy,2004-01-19,0.2445
RONEUR BGN Curncy,2004-01-20,0.241
RONEUR BGN Curncy,2004-01-21,0.2431
RONEUR BGN Curncy,2004-01-22,0.2427
RONEUR BGN Curncy,2004-01-23,0.2455
RONEUR BGN Curncy,2004-01-26,0.2459
RONEUR BGN Curncy,2004-01-27,0.2418
RONEUR BGN Curncy,2004-01-28,0.248
RONEUR BGN Curncy,2004-01-29,0.2451
RONEUR BGN Curncy,2004-01-30,0.2446
RONEUR BGN Curncy,2004-02-02,0.2472
RONEUR BGN Curncy,2004-02-03,0.2473
RONEUR BGN Curncy,2004-02-04,0.247
RONEUR BGN Curncy,2004-02-05,0.2457
RONEUR BGN Curncy,2004-02-06,0.2411
RONEUR BGN Curncy,2004-02-09,0.244
RONEUR BGN Curncy,2004-02-10,0.2456
RONEUR BGN Curncy,2004-02-11,0.2428
RONEUR BGN Curncy,2004-02-12,0.2456
RONEUR BGN Curncy,2004-02-13,0.2467
RONEUR BGN Curncy,2004-02-16,0.2467
RONEUR BGN Curncy,2004-02-17,0.2456
RONEUR BGN Curncy,2004-02-18,0.2498
RONEUR BGN Curncy,2004-02-19,0.2466
RONEUR BGN Curncy,2004-02-20,0.2477
RONEUR BGN Curncy,2004-02-23,0.2469
RONEUR BGN Curncy,2004-02-24,0.2465
RONEUR BGN Curncy,2004-02-25,0.2506
RONEUR BGN Curncy,2004-02-26,0.2488
RONEUR BGN Curncy,2004-02-27,0.2482
RONEUR BGN Curncy,2004-03-01,0.2513
RONEUR BGN Curncy,2004-03-02,0.253
RONEUR BGN Curncy,2004-03-03,0.2499
RONEUR BGN Curncy,2004-03-04,0.25
RONEUR BGN Curncy,2004-03-05,0.2473
RONEUR BGN Curncy,2004-03-08,0.2501
RONEUR BGN Curncy,2004-03-09,0.2509
RONEUR BGN Curncy,2004-03-10,0.2514
RONEUR BGN Curncy,2004-03-11,0.2477
RONEUR BGN Curncy,2004-03-12,0.25
RONEUR BGN Curncy,2004-03-15,0.2503
RONEUR BGN Curncy,2004-03-16,0.2517
RONEUR BGN Curncy,2004-03-17,0.2503
RONEUR BGN Curncy,2004-03-18,0.2479
RONEUR BGN Curncy,2004-03-19,0.251
RONEUR BGN Curncy,2004-03-22,0.2504
RONEUR BGN Curncy,2004-03-23,0.2492
RONEUR BGN Curncy,2004-03-24,0.2515
