name,date,PX_LAST
USDEUR BGN Curncy,2004-01-01,0.7971
USDEUR BGN Curncy,2004-01-02,0.7947
USDEUR BGN Curncy,2004-01-05,0.789
USDEUR BGN Curncy,2004-01-06,0.7857
USDEUR BGN Curncy,2004-01-07,0.7918
USDEUR BGN Curncy,2004-01-08,0.7835
USDEUR BGN Curncy,2004-01-09,0.78
USDEUR BGN Curncy,2004-01-12,0.7844
USDEUR BGN Curncy,2004-01-13,0.7829
USDEUR BGN Curncy,2004-01-14,0.7907
USDEUR BGN Curncy,2004-01-15,0.7949
USDEUR BGN Curncy,2004-01-16,0.8069
USDEUR BGN Curncy,2004-01-19,0.8097
USDEUR BGN Curncy,2004-01-20,0.7949
USDEUR BGN Curncy,2004-01-21,0.7909
USDEUR BGN Curncy,2004-01-22,0.7863
USDEUR BGN Curncy,2004-01-23,0.7948
USDEUR BGN Curncy,2004-01-26,0.8025
USDEUR BGN Curncy,2004-01-27,0.7909
USDEUR BGN Curncy,2004-01-28,0.8017
USDEUR BGN Curncy,2004-01-29,0.8058
USDEUR BGN Curncy,2004-01-30,0.8015
USDEUR BGN Curncy,2004-02-02,0.8049
USDEUR BGN Curncy,2004-02-03,0.7972
USDEUR BGN Curncy,2004-02-04,0.7978
USDEUR BGN Curncy,2004-02-05,0.797
USDEUR BGN Curncy,2004-02-06,0.7872
USDEUR BGN Curncy,2004-02-09,0.7873
USDEUR BGN Curncy,2004-02-10,0.7892
USDEUR BGN Curncy,2004-02-11,0.7795
USDEUR BGN Curncy,2004-02-12,0.7805
USDEUR BGN Curncy,2004-02-13,0.7849
USDEUR BGN Curncy,2004-02-16,0.783
USDEUR BGN Curncy,2004-02-17,0.7788
USDEUR BGN Curncy,2004-02-18,0.7882
USDEUR BGN Curncy,2004-02-19,0.7865
USDEUR BGN Curncy,2004-02-20,0.7978
USDEUR BGN Curncy,2004-02-23,0.7964
USDEUR BGN Curncy,2004-02-24,0.7931
USDEUR BGN Curncy,2004-02-25,0.7999
USDEUR BGN Curncy,2004-02-26,0.804
USDEUR BGN Curncy,2004-02-27,0.8005
USDEUR BGN Curncy,2004-03-01,0.8027
USDEUR BGN Curncy,2004-03-02,0.8187
USDEUR BGN Curncy,2004-03-03,0.8192
USDEUR BGN Curncy,2004-03-04,0.8196
USDEUR BGN Curncy,2004-03-05,0.8069
USDEUR BGN Curncy,2004-03-08,0.806
USDEUR BGN Curncy,2004-03-09,0.8114
USDEUR BGN Curncy,2004-03-10,0.818
USDEUR BGN Curncy,2004-03-11,0.8094
USDEUR BGN Curncy,2004-03-12,0.8187
USDEUR BGN Curncy,2004-03-15,0.8152
USDEUR BGN Curncy,2004-03-16,0.8149
USDEUR BGN Curncy,2004-03-17,0.8172
USDEUR BGN Curncy,2004-03-18,0.8071
USDEUR BGN Curncy,2004-03-19,0.8137
USDEUR BGN Curncy,2004-03-22,0.8107
USDEUR BGN Curncy,2004-03-23,0.8105
USDEUR BGN Curncy,2004-03-24,0.8241
USDEUR BGN Curncy,2004-03-25,0.8243
USDEUR BGN Curncy,2004-03-26,0.8243
USDEUR BGN Curncy,2004-03-29,0.8224
USDEUR BGN Curncy,2004-03-30,0.8218
USDEUR BGN Curncy,2004-03-31,0.812
USDEUR BGN Curncy,2004-04-01,0.8087
USDEUR BGN Curncy,2004-04-02,0.8239
USDEUR BGN Curncy,2004-04-05,0.8321
USDEUR BGN Curncy,2004-04-06,0.8253
USDEUR BGN Curncy,2004-04-07,0.8215
USDEUR BGN Curncy,2004-04-08,0.8273
USDEUR BGN Curncy,2004-04-09,0.8268
USDEUR BGN Curncy,2004-04-12,0.8281
USDEUR BGN Curncy,2004-04-13,0.8371
USDEUR BGN Curncy,2004-04-14,0.836
USDEUR BGN Curncy,2004-04-15,0.8345
USDEUR BGN Curncy,2004-04-16,0.8338
USDEUR BGN Curncy,2004-04-19,0.8316
USDEUR BGN Curncy,2004-04-20,0.8428
USDEUR BGN Curncy,2004-04-21,0.8444
USDEUR BGN Curncy,2004-04-22,0.84
USDEUR BGN Curncy,2004-04-23,0.8445
USDEUR BGN Curncy,2004-04-26,0.8427
USDEUR BGN Curncy,2004-04-27,0.8388
USDEUR BGN Curncy,2004-04-28,0.8447
USDEUR BGN Curncy,2004-04-29,0.836
USDEUR BGN Curncy,2004-04-30,0.835
USDEUR BGN Curncy,2004-05-03,0.8371
USDEUR BGN Curncy,2004-05-04,0.8265
USDEUR BGN Curncy,2004-05-05,0.8214
USDEUR BGN Curncy,2004-05-06,0.8277
USDEUR BGN Curncy,2004-05-07,0.8414
USDEUR BGN Curncy,2004-05-10,0.844
USDEUR BGN Curncy,2004-05-11,0.8423
USDEUR BGN Curncy,2004-05-12,0.8403
USDEUR BGN Curncy,2004-05-13,0.846
USDEUR BGN Curncy,2004-05-14,0.8415
USDEUR BGN Curncy,2004-05-17,0.8314
USDEUR BGN Curncy,2004-05-18,0.8367
USDEUR BGN Curncy,2004-05-19,0.8326
USDEUR BGN Curncy,2004-05-20,0.8359
USDEUR BGN Curncy,2004-05-21,0.8348
USDEUR BGN Curncy,2004-05-24,0.8331
USDEUR BGN Curncy,2004-05-25,0.826
USDEUR BGN Curncy,2004-05-26,0.8262
USDEUR BGN Curncy,2004-05-27,0.8156
USDEUR BGN Curncy,2004-05-28,0.8181
USDEUR BGN Curncy,2004-05-31,0.8205
USDEUR BGN Curncy,2004-06-01,0.8166
USDEUR BGN Curncy,2004-06-02,0.8187
USDEUR BGN Curncy,2004-06-03,0.8178
USDEUR BGN Curncy,2004-06-04,0.8141
USDEUR BGN Curncy,2004-06-07,0.8117
USDEUR BGN Curncy,2004-06-08,0.8151
USDEUR BGN Curncy,2004-06-09,0.8301
USDEUR BGN Curncy,2004-06-10,0.826
USDEUR BGN Curncy,2004-06-11,0.833
USDEUR BGN Curncy,2004-06-14,0.8295
USDEUR BGN Curncy,2004-06-15,0.8223
USDEUR BGN Curncy,2004-06-16,0.8327
USDEUR BGN Curncy,2004-06-17,0.8295
USDEUR BGN Curncy,2004-06-18,0.8239
USDEUR BGN Curncy,2004-06-21,0.8255
USDEUR BGN Curncy,2004-06-22,0.826
USDEUR BGN Curncy,2004-06-23,0.827
USDEUR BGN Curncy,2004-06-24,0.8217
USDEUR BGN Curncy,2004-06-25,0.8214
USDEUR BGN Curncy,2004-06-28,0.8207
USDEUR BGN Curncy,2004-06-29,0.8276
USDEUR BGN Curncy,2004-06-30,0.8196
USDEUR BGN Curncy,2004-07-01,0.8225
USDEUR BGN Curncy,2004-07-02,0.8117
USDEUR BGN Curncy,2004-07-05,0.8137
USDEUR BGN Curncy,2004-07-06,0.814
USDEUR BGN Curncy,2004-07-07,0.8083
USDEUR BGN Curncy,2004-07-08,0.8073
USDEUR BGN Curncy,2004-07-09,0.8056
USDEUR BGN Curncy,2004-07-12,0.8061
USDEUR BGN Curncy,2004-07-13,0.8111
USDEUR BGN Curncy,2004-07-14,0.8077
USDEUR BGN Curncy,2004-07-15,0.8094
USDEUR BGN Curncy,2004-07-16,0.8031
USDEUR BGN Curncy,2004-07-19,0.8039
USDEUR BGN Curncy,2004-07-20,0.811
USDEUR BGN Curncy,2004-07-21,0.8157
USDEUR BGN Curncy,2004-07-22,0.8159
USDEUR BGN Curncy,2004-07-23,0.8268
USDEUR BGN Curncy,2004-07-26,0.8235
USDEUR BGN Curncy,2004-07-27,0.8295
USDEUR BGN Curncy,2004-07-28,0.8295
USDEUR BGN Curncy,2004-07-29,0.8303
USDEUR BGN Curncy,2004-07-30,0.8321
USDEUR BGN Curncy,2004-08-02,0.8315
USDEUR BGN Curncy,2004-08-03,0.8292
USDEUR BGN Curncy,2004-08-04,0.83
USDEUR BGN Curncy,2004-08-05,0.8295
USDEUR BGN Curncy,2004-08-06,0.8144
USDEUR BGN Curncy,2004-08-09,0.815
USDEUR BGN Curncy,2004-08-10,0.8172
USDEUR BGN Curncy,2004-08-11,0.8186
USDEUR BGN Curncy,2004-08-12,0.816
USDEUR BGN Curncy,2004-08-13,0.8082
USDEUR BGN Curncy,2004-08-16,0.8089
USDEUR BGN Curncy,2004-08-17,0.8095
USDEUR BGN Curncy,2004-08-18,0.8107
