name,date,PX_LAST
ASRNL NA Equity,2016-06-09,19.5
ASRNL NA Equity,2016-06-10,20.0
ASRNL NA Equity,2016-06-13,19.645
ASRNL NA Equity,2016-06-14,19.5
ASRNL NA Equity,2016-06-15,19.55
ASRNL NA Equity,2016-06-16,19.5
ASRNL NA Equity,2016-06-17,19.525
ASRNL NA Equity,2016-06-20,19.9
ASRNL NA Equity,2016-06-21,19.75
ASRNL NA Equity,2016-06-22,19.785
ASRNL NA Equity,2016-06-23,20.07
ASRNL NA Equity,2016-06-24,19.22
ASRNL NA Equity,2016-06-27,18.25
ASRNL NA Equity,2016-06-28,18.41
ASRNL NA Equity,2016-06-29,18.8
ASRNL NA Equity,2016-06-30,19.45
ASRNL NA Equity,2016-07-01,19.2
ASRNL NA Equity,2016-07-04,18.86
ASRNL NA Equity,2016-07-05,18.63
ASRNL NA Equity,2016-07-06,17.245
ASRNL NA Equity,2016-07-07,17.14
ASRNL NA Equity,2016-07-08,17.465
ASRNL NA Equity,2016-07-11,17.235
ASRNL NA Equity,2016-07-12,17.3
ASRNL NA Equity,2016-07-13,17.2
ASRNL NA Equity,2016-07-14,17.145
ASRNL NA Equity,2016-07-15,17.2
ASRNL NA Equity,2016-07-18,17.195
ASRNL NA Equity,2016-07-19,17.22
ASRNL NA Equity,2016-07-20,17.8
ASRNL NA Equity,2016-07-21,17.785
ASRNL NA Equity,2016-07-22,17.885
ASRNL NA Equity,2016-07-25,17.72
ASRNL NA Equity,2016-07-26,17.695
ASRNL NA Equity,2016-07-27,17.675
ASRNL NA Equity,2016-07-28,17.38
ASRNL NA Equity,2016-07-29,17.925
ASRNL NA Equity,2016-08-01,18.42
ASRNL NA Equity,2016-08-02,18.335
ASRNL NA Equity,2016-08-03,18.26
ASRNL NA Equity,2016-08-04,18.4
ASRNL NA Equity,2016-08-05,18.15
ASRNL NA Equity,2016-08-08,18.3
ASRNL NA Equity,2016-08-09,18.37
ASRNL NA Equity,2016-08-10,18.64
ASRNL NA Equity,2016-08-11,18.45
ASRNL NA Equity,2016-08-12,18.715
ASRNL NA Equity,2016-08-15,18.6
ASRNL NA Equity,2016-08-16,18.31
ASRNL NA Equity,2016-08-17,18.285
ASRNL NA Equity,2016-08-18,18.48
ASRNL NA Equity,2016-08-19,18.5
ASRNL NA Equity,2016-08-22,18.59
ASRNL NA Equity,2016-08-23,19.165
ASRNL NA Equity,2016-08-24,18.85
ASRNL NA Equity,2016-08-25,18.49
ASRNL NA Equity,2016-08-26,18.635
ASRNL NA Equity,2016-08-29,18.71
ASRNL NA Equity,2016-08-30,18.855
ASRNL NA Equity,2016-08-31,19.03
ASRNL NA Equity,2016-09-01,19.05
ASRNL NA Equity,2016-09-02,19.13
ASRNL NA Equity,2016-09-05,19.02
ASRNL NA Equity,2016-09-06,18.97
ASRNL NA Equity,2016-09-07,19.06
ASRNL NA Equity,2016-09-08,19.085
ASRNL NA Equity,2016-09-09,19.305
ASRNL NA Equity,2016-09-12,19.055
ASRNL NA Equity,2016-09-13,18.65
ASRNL NA Equity,2016-09-14,18.5
ASRNL NA Equity,2016-09-15,18.74
ASRNL NA Equity,2016-09-16,18.785
ASRNL NA Equity,2016-09-19,18.855
ASRNL NA Equity,2016-09-20,18.455
ASRNL NA Equity,2016-09-21,18.51
ASRNL NA Equity,2016-09-22,18.555
ASRNL NA Equity,2016-09-23,18.515
ASRNL NA Equity,2016-09-26,17.975
ASRNL NA Equity,2016-09-27,17.96
ASRNL NA Equity,2016-09-28,18.015
ASRNL NA Equity,2016-09-29,18.195
ASRNL NA Equity,2016-09-30,18.11
ASRNL NA Equity,2016-10-03,18.245
ASRNL NA Equity,2016-10-04,18.21
ASRNL NA Equity,2016-10-05,18.705
ASRNL NA Equity,2016-10-06,18.72
ASRNL NA Equity,2016-10-07,18.73
ASRNL NA Equity,2016-10-10,18.705
ASRNL NA Equity,2016-10-11,18.89
ASRNL NA Equity,2016-10-12,18.94
ASRNL NA Equity,2016-10-13,18.935
ASRNL NA Equity,2016-10-14,19.02
ASRNL NA Equity,2016-10-17,19.14
ASRNL NA Equity,2016-10-18,19.35
ASRNL NA Equity,2016-10-19,19.365
ASRNL NA Equity,2016-10-20,19.19
ASRNL NA Equity,2016-10-21,19.28
ASRNL NA Equity,2016-10-24,19.36
ASRNL NA Equity,2016-10-25,19.6
ASRNL NA Equity,2016-10-26,19.8
ASRNL NA Equity,2016-10-27,19.8
ASRNL NA Equity,2016-10-28,20.325
ASRNL NA Equity,2016-10-31,20.19
ASRNL NA Equity,2016-11-01,19.995
ASRNL NA Equity,2016-11-02,19.96
ASRNL NA Equity,2016-11-03,19.915
ASRNL NA Equity,2016-11-04,19.78
ASRNL NA Equity,2016-11-07,19.8
ASRNL NA Equity,2016-11-08,19.885
ASRNL NA Equity,2016-11-09,19.78
ASRNL NA Equity,2016-11-10,20.24
ASRNL NA Equity,2016-11-11,20.125
ASRNL NA Equity,2016-11-14,20.595
ASRNL NA Equity,2016-11-15,20.785
ASRNL NA Equity,2016-11-16,21.39
ASRNL NA Equity,2016-11-17,21.25
ASRNL NA Equity,2016-11-18,20.635
ASRNL NA Equity,2016-11-21,20.3
ASRNL NA Equity,2016-11-22,20.315
ASRNL NA Equity,2016-11-23,20.16
ASRNL NA Equity,2016-11-24,20.05
ASRNL NA Equity,2016-11-25,20.0
ASRNL NA Equity,2016-11-28,19.7
ASRNL NA Equity,2016-11-29,19.72
ASRNL NA Equity,2016-11-30,19.735
ASRNL NA Equity,2016-12-01,19.6
ASRNL NA Equity,2016-12-02,19.41
ASRNL NA Equity,2016-12-05,20.15
ASRNL NA Equity,2016-12-06,20.15
ASRNL NA Equity,2016-12-07,21.045
ASRNL NA Equity,2016-12-08,20.95
ASRNL NA Equity,2016-12-09,21.0
ASRNL NA Equity,2016-12-12,21.06
ASRNL NA Equity,2016-12-13,21.16
ASRNL NA Equity,2016-12-14,20.95
ASRNL NA Equity,2016-12-15,21.02
ASRNL NA Equity,2016-12-16,21.385
ASRNL NA Equity,2016-12-19,21.49
ASRNL NA Equity,2016-12-20,21.82
ASRNL NA Equity,2016-12-21,21.94
ASRNL NA Equity,2016-12-22,22.22
ASRNL NA Equity,2016-12-23,22.6
ASRNL NA Equity,2016-12-27,22.59
ASRNL NA Equity,2016-12-28,22.645
