name,date,PX_LAST
CS FP Equity,1989-10-02,9.123
CS FP Equity,1989-10-03,9.5295
CS FP Equity,1989-10-04,9.3794
CS FP Equity,1989-10-05,9.6108
CS FP Equity,1989-10-06,9.7859
CS FP Equity,1989-10-09,9.5983
CS FP Equity,1989-10-10,9.5107
CS FP Equity,1989-10-11,9.2544
CS FP Equity,1989-10-12,9.2043
CS FP Equity,1989-10-13,9.2544
CS FP Equity,1989-10-16,8.504
CS FP Equity,1989-10-17,8.4978
CS FP Equity,1989-10-18,8.6853
CS FP Equity,1989-10-19,9.1293
CS FP Equity,1989-10-20,8.7541
CS FP Equity,1989-10-23,8.8167
CS FP Equity,1989-10-24,8.8167
CS FP Equity,1989-10-25,8.8167
CS FP Equity,1989-10-27,8.3164
CS FP Equity,1989-10-30,8.4227
CS FP Equity,1989-10-31,8.6228
CS FP Equity,1989-11-02,8.5353
CS FP Equity,1989-11-03,8.3289
CS FP Equity,1989-11-06,8.1538
CS FP Equity,1989-11-07,8.0038
CS FP Equity,1989-11-08,8.0538
CS FP Equity,1989-11-09,8.0913
CS FP Equity,1989-11-10,8.1288
CS FP Equity,1989-11-13,8.1351
CS FP Equity,1989-11-14,8.1351
CS FP Equity,1989-11-15,7.9725
CS FP Equity,1989-11-16,8.0288
CS FP Equity,1989-11-17,8.0163
CS FP Equity,1989-11-20,7.9287
CS FP Equity,1989-11-21,7.7974
CS FP Equity,1989-11-22,7.86
CS FP Equity,1989-11-23,7.8662
CS FP Equity,1989-11-24,8.0663
CS FP Equity,1989-11-27,8.0726
CS FP Equity,1989-11-28,8.0288
CS FP Equity,1989-11-29,8.0225
CS FP Equity,1989-11-30,8.01
CS FP Equity,1989-12-01,8.1288
CS FP Equity,1989-12-04,8.429
CS FP Equity,1989-12-05,8.4352
CS FP Equity,1989-12-06,8.8041
CS FP Equity,1989-12-07,8.8479
CS FP Equity,1989-12-08,8.7229
CS FP Equity,1989-12-11,8.5165
CS FP Equity,1989-12-12,8.7729
CS FP Equity,1989-12-13,8.4915
CS FP Equity,1989-12-14,8.4415
CS FP Equity,1989-12-15,8.4165
CS FP Equity,1989-12-18,8.4102
CS FP Equity,1989-12-19,8.3477
CS FP Equity,1989-12-20,8.4915
CS FP Equity,1989-12-21,8.9292
CS FP Equity,1989-12-22,8.973
CS FP Equity,1989-12-26,8.9667
CS FP Equity,1989-12-27,8.9167
CS FP Equity,1989-12-28,9.0042
CS FP Equity,1989-12-29,8.7541
CS FP Equity,1990-01-02,8.8479
CS FP Equity,1990-01-03,8.7854
CS FP Equity,1990-01-04,8.9104
CS FP Equity,1990-01-05,8.9104
CS FP Equity,1990-01-09,9.0167
CS FP Equity,1990-01-10,8.9855
CS FP Equity,1990-01-11,8.9104
CS FP Equity,1990-01-12,8.7104
CS FP Equity,1990-01-15,8.8667
CS FP Equity,1990-01-16,8.7541
CS FP Equity,1990-01-17,8.7166
CS FP Equity,1990-01-18,8.6291
CS FP Equity,1990-01-19,8.5665
CS FP Equity,1990-01-22,8.5603
CS FP Equity,1990-01-23,8.5665
CS FP Equity,1990-01-24,8.4415
CS FP Equity,1990-01-25,8.4852
CS FP Equity,1990-01-26,8.3664
CS FP Equity,1990-01-29,8.4415
CS FP Equity,1990-01-30,8.4102
CS FP Equity,1990-01-31,8.3039
CS FP Equity,1990-02-01,8.3039
CS FP Equity,1990-02-02,8.2101
CS FP Equity,1990-02-05,8.4102
CS FP Equity,1990-02-06,8.2226
CS FP Equity,1990-02-07,8.1789
CS FP Equity,1990-02-08,8.2977
CS FP Equity,1990-02-09,8.2789
CS FP Equity,1990-02-12,8.0663
CS FP Equity,1990-02-13,7.9475
CS FP Equity,1990-02-14,8.1163
CS FP Equity,1990-02-15,7.9475
CS FP Equity,1990-02-19,8.1476
CS FP Equity,1990-02-20,7.9412
CS FP Equity,1990-02-21,7.7599
CS FP Equity,1990-02-22,7.8412
CS FP Equity,1990-02-23,7.7099
CS FP Equity,1990-02-26,7.6536
CS FP Equity,1990-02-28,7.6161
CS FP Equity,1990-03-01,7.5786
CS FP Equity,1990-03-02,7.5098
CS FP Equity,1990-03-05,7.5661
CS FP Equity,1990-03-06,7.6474
CS FP Equity,1990-03-07,7.5973
CS FP Equity,1990-03-08,7.8787
CS FP Equity,1990-03-09,7.9412
CS FP Equity,1990-03-12,7.7974
CS FP Equity,1990-03-13,7.7599
CS FP Equity,1990-03-14,7.9162
CS FP Equity,1990-03-15,7.9975
CS FP Equity,1990-03-16,7.885
CS FP Equity,1990-03-19,7.7099
CS FP Equity,1990-03-20,7.6911
CS FP Equity,1990-03-21,7.7036
CS FP Equity,1990-03-22,7.6161
CS FP Equity,1990-03-23,7.6411
CS FP Equity,1990-03-27,7.7662
CS FP Equity,1990-03-28,7.7787
CS FP Equity,1990-03-29,7.7849
CS FP Equity,1990-03-30,7.8162
CS FP Equity,1990-04-02,7.7537
CS FP Equity,1990-04-03,7.8349
CS FP Equity,1990-04-04,7.8162
CS FP Equity,1990-04-05,7.9225
CS FP Equity,1990-04-06,8.0726
CS FP Equity,1990-04-09,8.1601
CS FP Equity,1990-04-10,8.0038
CS FP Equity,1990-04-11,8.1038
CS FP Equity,1990-04-12,8.0851
CS FP Equity,1990-04-17,8.1663
CS FP Equity,1990-04-18,8.4415
CS FP Equity,1990-04-19,8.5853
CS FP Equity,1990-04-20,8.7229
CS FP Equity,1990-04-23,8.6603
CS FP Equity,1990-04-24,8.8917
CS FP Equity,1990-04-25,8.7229
CS FP Equity,1990-04-26,8.5978
CS FP Equity,1990-04-27,8.4352
CS FP Equity,1990-04-30,8.2539
CS FP Equity,1990-05-02,8.3289
CS FP Equity,1990-05-03,8.4102
CS FP Equity,1990-05-04,8.5103
CS FP Equity,1990-05-07,8.4602
CS FP Equity,1990-05-09,8.4227
CS FP Equity,1990-05-10,8.3602
CS FP Equity,1990-05-11,8.2226
CS FP Equity,1990-05-14,8.1914
CS FP Equity,1990-05-15,8.0538
CS FP Equity,1990-05-16,8.0913
CS FP Equity,1990-05-17,8.5603
CS FP Equity,1990-05-18,8.5353
CS FP Equity,1990-05-21,8.579
CS FP Equity,1990-05-22,8.6291
CS FP Equity,1990-05-23,8.6728
CS FP Equity,1990-05-25,8.6291
CS FP Equity,1990-05-28,8.5728
CS FP Equity,1990-05-29,8.6603
CS FP Equity,1990-05-30,8.6166
CS FP Equity,1990-05-31,8.6603
CS FP Equity,1990-06-01,8.5915
CS FP Equity,1990-06-05,8.4852
CS FP Equity,1990-06-06,8.4227
CS FP Equity,1990-06-07,8.4415
CS FP Equity,1990-06-08,8.3414
CS FP Equity,1990-06-11,8.2414
CS FP Equity,1990-06-12,8.1351
CS FP Equity,1990-06-13,8.1413
CS FP Equity,1990-06-14,8.1601
CS FP Equity,1990-06-15,8.0788
CS FP Equity,1990-06-18,8.0288
CS FP Equity,1990-06-19,7.8537
CS FP Equity,1990-06-20,7.8537
CS FP Equity,1990-06-21,7.8474
