name,date,PX_LAST
G IM Equity,1985-01-02,2.285
G IM Equity,1985-01-03,2.3209
G IM Equity,1985-01-04,2.3414
G IM Equity,1985-01-07,2.3083
G IM Equity,1985-01-08,2.3215
G IM Equity,1985-01-09,2.3534
G IM Equity,1985-01-10,2.3961
G IM Equity,1985-01-11,2.4207
G IM Equity,1985-01-14,2.4409
G IM Equity,1985-01-15,2.4476
G IM Equity,1985-01-16,2.4509
G IM Equity,1985-01-17,2.421
G IM Equity,1985-01-18,2.4542
G IM Equity,1985-01-21,2.4874
G IM Equity,1985-01-22,2.5338
G IM Equity,1985-01-23,2.5
G IM Equity,1985-01-24,2.4947
G IM Equity,1985-01-25,2.5202
G IM Equity,1985-01-28,2.5311
G IM Equity,1985-01-29,2.5769
G IM Equity,1985-01-30,2.6266
G IM Equity,1985-01-31,2.5998
G IM Equity,1985-02-01,2.6266
G IM Equity,1985-02-04,2.5769
G IM Equity,1985-02-05,2.5835
G IM Equity,1985-02-06,2.6194
G IM Equity,1985-02-07,2.6499
G IM Equity,1985-02-08,2.6532
G IM Equity,1985-02-11,2.7394
G IM Equity,1985-02-12,2.7062
G IM Equity,1985-02-13,2.7991
G IM Equity,1985-02-14,2.8376
G IM Equity,1985-02-15,2.886
G IM Equity,1985-02-18,2.9517
G IM Equity,1985-02-19,2.8854
G IM Equity,1985-02-20,2.9152
G IM Equity,1985-02-21,2.7261
G IM Equity,1985-02-22,2.6864
G IM Equity,1985-02-25,2.7335
G IM Equity,1985-02-26,2.8025
G IM Equity,1985-02-27,2.7062
G IM Equity,1985-02-28,2.7202
G IM Equity,1985-03-01,2.6744
G IM Equity,1985-03-04,2.5938
G IM Equity,1985-03-05,2.5962
G IM Equity,1985-03-06,2.6207
G IM Equity,1985-03-07,2.7192
G IM Equity,1985-03-08,2.7096
G IM Equity,1985-03-11,2.6528
G IM Equity,1985-03-12,2.6764
G IM Equity,1985-03-13,2.703
G IM Equity,1985-03-14,2.7362
G IM Equity,1985-03-15,2.6798
G IM Equity,1985-03-18,2.6602
G IM Equity,1985-03-19,2.6784
G IM Equity,1985-03-20,2.7978
G IM Equity,1985-03-21,2.8721
G IM Equity,1985-03-22,2.8456
G IM Equity,1985-03-25,2.8721
G IM Equity,1985-03-26,2.8986
G IM Equity,1985-03-27,2.8913
G IM Equity,1985-03-28,2.8264
G IM Equity,1985-03-29,2.8224
G IM Equity,1985-04-01,2.7859
G IM Equity,1985-04-02,2.693
G IM Equity,1985-04-03,2.7003
G IM Equity,1985-04-04,2.7269
G IM Equity,1985-04-05,2.7852
G IM Equity,1985-04-09,2.7793
G IM Equity,1985-04-10,2.7759
G IM Equity,1985-04-11,2.7719
G IM Equity,1985-04-12,2.7593
G IM Equity,1985-04-15,2.76
G IM Equity,1985-04-16,2.811
G IM Equity,1985-04-17,2.7859
G IM Equity,1985-04-18,2.882
G IM Equity,1985-04-19,2.9285
G IM Equity,1985-04-22,2.9285
G IM Equity,1985-04-23,2.8794
G IM Equity,1985-04-24,2.8854
G IM Equity,1985-04-26,2.9086
G IM Equity,1985-04-29,2.9451
G IM Equity,1985-04-30,2.9517
G IM Equity,1985-05-02,2.9052
G IM Equity,1985-05-03,2.9219
G IM Equity,1985-05-06,2.9517
G IM Equity,1985-05-07,2.9318
G IM Equity,1985-05-08,2.9172
G IM Equity,1985-05-09,2.9251
G IM Equity,1985-05-10,2.9384
G IM Equity,1985-05-13,2.9783
G IM Equity,1985-05-14,3.0478
G IM Equity,1985-05-15,3.1209
G IM Equity,1985-05-16,3.1712
