name,date,PX_LAST
GCO SM Equity,1995-10-13,1.8481
GCO SM Equity,1995-12-07,1.9683
GCO SM Equity,1995-12-19,2.0209
GCO SM Equity,1995-12-22,1.9533
GCO SM Equity,1996-01-10,2.0209
GCO SM Equity,1996-01-11,1.9533
GCO SM Equity,1996-01-16,1.9533
GCO SM Equity,1996-01-22,1.9533
GCO SM Equity,1996-02-02,1.9833
GCO SM Equity,1996-02-07,1.9984
GCO SM Equity,1996-02-08,2.051
GCO SM Equity,1996-03-13,1.9833
GCO SM Equity,1996-03-21,2.0284
GCO SM Equity,1996-03-28,2.051
GCO SM Equity,1996-03-29,2.0885
GCO SM Equity,1996-04-29,2.0885
GCO SM Equity,1996-05-29,2.0885
GCO SM Equity,1996-07-29,2.0885
GCO SM Equity,1996-08-07,2.0284
GCO SM Equity,1996-08-29,1.9984
GCO SM Equity,1996-10-23,2.0359
GCO SM Equity,1996-10-24,2.0359
GCO SM Equity,1996-10-29,2.0359
GCO SM Equity,1996-11-29,2.0359
GCO SM Equity,1996-12-13,2.0735
GCO SM Equity,1997-01-13,2.0735
GCO SM Equity,1997-02-13,2.0735
GCO SM Equity,1997-03-13,2.0735
GCO SM Equity,1997-04-03,2.2808
GCO SM Equity,1997-04-04,2.5074
GCO SM Equity,1997-04-07,2.7568
GCO SM Equity,1997-04-08,3.0321
GCO SM Equity,1997-04-09,3.3338
GCO SM Equity,1997-04-10,3.6662
GCO SM Equity,1997-04-11,4.0328
GCO SM Equity,1997-04-14,4.4355
GCO SM Equity,1997-04-15,4.9583
GCO SM Equity,1997-04-16,4.9583
GCO SM Equity,1997-04-17,4.9583
GCO SM Equity,1997-04-21,4.9583
GCO SM Equity,1997-04-22,4.7841
GCO SM Equity,1997-04-23,4.6879
GCO SM Equity,1997-04-24,4.5557
GCO SM Equity,1997-04-25,4.6578
GCO SM Equity,1997-04-28,4.6278
GCO SM Equity,1997-04-29,4.6458
GCO SM Equity,1997-04-30,4.6158
GCO SM Equity,1997-05-02,4.5977
GCO SM Equity,1997-05-05,4.6158
GCO SM Equity,1997-05-06,4.5376
GCO SM Equity,1997-05-07,4.5196
GCO SM Equity,1997-05-08,4.5376
GCO SM Equity,1997-05-09,4.5797
GCO SM Equity,1997-05-12,4.5437
