name,date,PX_LAST
HNR1 GR Equity,1994-11-30,12.68
HNR1 GR Equity,1994-12-01,12.478
HNR1 GR Equity,1994-12-02,11.94
HNR1 GR Equity,1994-12-05,12.192
HNR1 GR Equity,1994-12-06,12.192
HNR1 GR Equity,1994-12-07,12.108
HNR1 GR Equity,1994-12-08,12.024
HNR1 GR Equity,1994-12-09,11.856
HNR1 GR Equity,1994-12-12,11.923
HNR1 GR Equity,1994-12-13,11.856
HNR1 GR Equity,1994-12-14,11.856
HNR1 GR Equity,1994-12-15,11.94
HNR1 GR Equity,1994-12-16,12.108
HNR1 GR Equity,1994-12-19,12.108
HNR1 GR Equity,1994-12-20,12.041
HNR1 GR Equity,1994-12-21,12.024
HNR1 GR Equity,1994-12-22,12.108
HNR1 GR Equity,1994-12-23,12.091
HNR1 GR Equity,1994-12-27,12.024
HNR1 GR Equity,1994-12-28,12.108
HNR1 GR Equity,1994-12-29,12.024
HNR1 GR Equity,1994-12-30,12.024
HNR1 GR Equity,1995-01-02,12.108
HNR1 GR Equity,1995-01-03,11.822
HNR1 GR Equity,1995-01-04,11.856
HNR1 GR Equity,1995-01-05,11.066
HNR1 GR Equity,1995-01-06,11.52
HNR1 GR Equity,1995-01-09,11.402
HNR1 GR Equity,1995-01-10,10.998
HNR1 GR Equity,1995-01-11,11.099
HNR1 GR Equity,1995-01-12,11.099
HNR1 GR Equity,1995-01-13,10.931
HNR1 GR Equity,1995-01-16,11.015
HNR1 GR Equity,1995-01-17,10.965
HNR1 GR Equity,1995-01-18,10.965
HNR1 GR Equity,1995-01-19,10.931
HNR1 GR Equity,1995-01-20,10.847
HNR1 GR Equity,1995-01-23,10.763
HNR1 GR Equity,1995-01-24,10.746
HNR1 GR Equity,1995-01-25,10.645
HNR1 GR Equity,1995-01-26,10.527
HNR1 GR Equity,1995-01-27,10.511
HNR1 GR Equity,1995-01-30,10.124
HNR1 GR Equity,1995-01-31,9.804
HNR1 GR Equity,1995-02-01,10.09
HNR1 GR Equity,1995-02-02,10.174
HNR1 GR Equity,1995-02-03,10.342
HNR1 GR Equity,1995-02-06,10.443
HNR1 GR Equity,1995-02-07,10.258
HNR1 GR Equity,1995-02-08,10.544
HNR1 GR Equity,1995-02-09,10.712
HNR1 GR Equity,1995-02-10,10.746
HNR1 GR Equity,1995-02-13,10.342
HNR1 GR Equity,1995-02-14,10.174
HNR1 GR Equity,1995-02-15,10.174
HNR1 GR Equity,1995-02-16,10.208
HNR1 GR Equity,1995-02-17,10.09
HNR1 GR Equity,1995-02-20,10.124
HNR1 GR Equity,1995-02-21,10.124
HNR1 GR Equity,1995-02-22,9.972
HNR1 GR Equity,1995-02-23,10.09
HNR1 GR Equity,1995-02-24,10.359
HNR1 GR Equity,1995-02-27,10.426
HNR1 GR Equity,1995-02-28,10.376
HNR1 GR Equity,1995-03-01,10.595
HNR1 GR Equity,1995-03-02,10.679
HNR1 GR Equity,1995-03-03,10.595
HNR1 GR Equity,1995-03-06,10.258
HNR1 GR Equity,1995-03-07,10.225
HNR1 GR Equity,1995-03-08,10.006
HNR1 GR Equity,1995-03-09,10.006
HNR1 GR Equity,1995-03-10,9.922
HNR1 GR Equity,1995-03-13,9.754
HNR1 GR Equity,1995-03-14,9.787
HNR1 GR Equity,1995-03-15,9.922
HNR1 GR Equity,1995-03-16,9.754
HNR1 GR Equity,1995-03-17,9.754
HNR1 GR Equity,1995-03-20,9.703
HNR1 GR Equity,1995-03-21,9.855
