name,date,PX_LAST
LRE LN Equity,2005-12-12,4.21304
LRE LN Equity,2005-12-13,4.72473
LRE LN Equity,2005-12-14,4.74158
LRE LN Equity,2005-12-15,4.73406
LRE LN Equity,2005-12-16,4.73231
LRE LN Equity,2005-12-19,4.78116
LRE LN Equity,2005-12-20,5.0647
LRE LN Equity,2005-12-21,5.23261
LRE LN Equity,2005-12-22,4.96474
LRE LN Equity,2005-12-23,4.95996
LRE LN Equity,2005-12-28,4.92413
LRE LN Equity,2005-12-29,4.94974
LRE LN Equity,2005-12-30,4.94564
LRE LN Equity,2006-01-03,4.95118
LRE LN Equity,2006-01-04,4.92133
LRE LN Equity,2006-01-05,4.98908
LRE LN Equity,2006-01-06,4.91838
LRE LN Equity,2006-01-09,4.92679
LRE LN Equity,2006-01-10,4.92777
LRE LN Equity,2006-01-11,4.82443
LRE LN Equity,2006-01-12,4.96144
LRE LN Equity,2006-01-13,4.94677
LRE LN Equity,2006-01-16,4.94304
LRE LN Equity,2006-01-17,4.925
LRE LN Equity,2006-01-18,4.89627
LRE LN Equity,2006-01-19,4.90101
LRE LN Equity,2006-01-20,4.87048
LRE LN Equity,2006-01-23,4.86723
LRE LN Equity,2006-01-24,4.84182
LRE LN Equity,2006-01-25,4.79369
LRE LN Equity,2006-01-26,4.8502
LRE LN Equity,2006-01-27,4.86042
LRE LN Equity,2006-01-30,4.76717
LRE LN Equity,2006-01-31,4.78364
LRE LN Equity,2006-02-01,4.77963
LRE LN Equity,2006-02-02,4.82433
LRE LN Equity,2006-02-03,4.80233
LRE LN Equity,2006-02-06,4.79254
LRE LN Equity,2006-02-07,4.7911
LRE LN Equity,2006-02-08,4.83629
LRE LN Equity,2006-02-09,4.85714
LRE LN Equity,2006-02-10,4.86231
LRE LN Equity,2006-02-13,4.80205
LRE LN Equity,2006-02-14,4.78682
LRE LN Equity,2006-02-15,4.79455
LRE LN Equity,2006-02-16,4.69654
LRE LN Equity,2006-02-17,4.68791
LRE LN Equity,2006-02-20,4.67398
LRE LN Equity,2006-02-21,4.73737
LRE LN Equity,2006-02-22,4.75644
LRE LN Equity,2006-02-23,4.6673
LRE LN Equity,2006-02-24,4.69628
LRE LN Equity,2006-02-27,4.66523
LRE LN Equity,2006-02-28,4.77973
LRE LN Equity,2006-03-01,4.84571
LRE LN Equity,2006-03-02,4.76024
LRE LN Equity,2006-03-03,4.75943
LRE LN Equity,2006-03-06,4.7557
LRE LN Equity,2006-03-07,4.79833
LRE LN Equity,2006-03-08,4.76067
LRE LN Equity,2006-03-09,4.77254
LRE LN Equity,2006-03-10,4.74499
LRE LN Equity,2006-03-13,4.72138
LRE LN Equity,2006-03-14,4.70846
LRE LN Equity,2006-03-15,4.62113
LRE LN Equity,2006-03-16,4.63254
LRE LN Equity,2006-03-17,4.60939
LRE LN Equity,2006-03-20,4.5336
LRE LN Equity,2006-03-21,4.60819
LRE LN Equity,2006-03-22,4.60136
LRE LN Equity,2006-03-23,4.59954
