name,date,PX_LAST
RLV GR Equity,1991-08-02,26.438
RLV GR Equity,1991-09-17,24.497
RLV GR Equity,1991-11-11,24.012
RLV GR Equity,1991-11-12,24.255
RLV GR Equity,1991-12-09,23.042
RLV GR Equity,1991-12-11,22.678
RLV GR Equity,1992-01-10,21.829
RLV GR Equity,1992-01-29,21.829
RLV GR Equity,1992-02-13,23.042
RLV GR Equity,1992-02-14,23.042
RLV GR Equity,1992-02-20,23.042
RLV GR Equity,1992-03-03,22.435
RLV GR Equity,1992-03-04,22.193
RLV GR Equity,1992-03-09,22.193
RLV GR Equity,1992-03-10,22.132
RLV GR Equity,1992-03-13,22.132
RLV GR Equity,1992-04-09,22.132
RLV GR Equity,1992-04-13,22.435
RLV GR Equity,1992-04-14,22.435
RLV GR Equity,1992-04-15,22.435
RLV GR Equity,1992-05-06,21.829
RLV GR Equity,1992-05-08,21.344
RLV GR Equity,1992-05-15,21.708
RLV GR Equity,1992-05-25,21.708
RLV GR Equity,1992-06-03,21.659
RLV GR Equity,1992-06-22,21.659
RLV GR Equity,1992-06-23,21.659
RLV GR Equity,1992-06-24,21.659
RLV GR Equity,1992-06-25,21.659
RLV GR Equity,1992-06-26,21.659
RLV GR Equity,1992-06-29,21.659
RLV GR Equity,1992-07-31,20.98
RLV GR Equity,1992-08-28,20.616
RLV GR Equity,1992-09-14,20.253
RLV GR Equity,1992-09-15,20.253
RLV GR Equity,1992-09-16,20.253
RLV GR Equity,1992-09-17,20.131
RLV GR Equity,1992-09-18,20.253
RLV GR Equity,1992-09-21,20.131
RLV GR Equity,1992-09-22,20.253
RLV GR Equity,1992-10-06,19.404
RLV GR Equity,1992-10-07,19.404
RLV GR Equity,1992-10-08,19.404
RLV GR Equity,1992-10-09,19.404
RLV GR Equity,1992-10-12,19.404
RLV GR Equity,1992-10-13,19.404
RLV GR Equity,1992-10-14,19.404
RLV GR Equity,1992-10-15,19.404
RLV GR Equity,1992-10-16,19.404
RLV GR Equity,1992-10-19,19.404
RLV GR Equity,1992-10-20,19.404
RLV GR Equity,1992-10-21,19.404
RLV GR Equity,1992-10-22,19.404
RLV GR Equity,1992-10-23,19.404
RLV GR Equity,1992-10-26,19.404
RLV GR Equity,1992-10-27,19.404
RLV GR Equity,1992-10-28,19.404
RLV GR Equity,1992-10-29,19.404
RLV GR Equity,1992-10-30,19.404
RLV GR Equity,1992-11-02,19.404
RLV GR Equity,1992-11-03,19.404
RLV GR Equity,1992-11-04,19.404
RLV GR Equity,1992-11-05,19.404
RLV GR Equity,1992-11-06,19.404
RLV GR Equity,1992-11-09,19.404
RLV GR Equity,1992-11-10,19.404
RLV GR Equity,1992-11-11,19.404
RLV GR Equity,1992-11-12,19.404
RLV GR Equity,1992-11-16,19.404
RLV GR Equity,1992-11-17,19.404
RLV GR Equity,1992-11-19,19.404
RLV GR Equity,1992-11-20,19.404
RLV GR Equity,1992-11-23,19.404
RLV GR Equity,1992-11-24,19.404
RLV GR Equity,1992-11-25,19.404
RLV GR Equity,1992-11-26,19.404
RLV GR Equity,1992-11-27,18.797
RLV GR Equity,1992-12-01,19.282
RLV GR Equity,1992-12-02,19.282
RLV GR Equity,1992-12-03,19.282
RLV GR Equity,1992-12-04,18.797
RLV GR Equity,1992-12-07,18.797
RLV GR Equity,1992-12-08,18.797
RLV GR Equity,1992-12-09,18.797
RLV GR Equity,1992-12-17,14.492
RLV GR Equity,1992-12-18,14.674
RLV GR Equity,1992-12-21,15.038
RLV GR Equity,1992-12-22,15.523
RLV GR Equity,1992-12-23,15.28
RLV GR Equity,1992-12-28,15.28
RLV GR Equity,1992-12-29,15.28
RLV GR Equity,1992-12-30,15.28
RLV GR Equity,1993-01-04,15.28
RLV GR Equity,1993-01-05,15.28
RLV GR Equity,1993-01-06,15.28
RLV GR Equity,1993-01-07,15.28
RLV GR Equity,1993-01-08,15.28
RLV GR Equity,1993-01-11,15.28
RLV GR Equity,1993-01-12,15.28
RLV GR Equity,1993-01-13,15.28
RLV GR Equity,1993-01-14,15.28
RLV GR Equity,1993-01-15,15.28
RLV GR Equity,1993-01-18,15.28
RLV GR Equity,1993-01-19,15.28
RLV GR Equity,1993-01-20,15.28
RLV GR Equity,1993-01-21,15.28
RLV GR Equity,1993-01-22,15.28
RLV GR Equity,1993-01-25,15.159
RLV GR Equity,1993-01-26,15.038
RLV GR Equity,1993-01-27,15.038
RLV GR Equity,1993-01-28,15.159
RLV GR Equity,1993-01-29,15.159
RLV GR Equity,1993-02-01,15.159
RLV GR Equity,1993-02-02,15.159
RLV GR Equity,1993-02-03,15.159
RLV GR Equity,1993-02-04,15.28
RLV GR Equity,1993-02-05,15.28
RLV GR Equity,1993-02-08,15.765
RLV GR Equity,1993-02-09,15.765
RLV GR Equity,1993-02-10,15.765
RLV GR Equity,1993-02-11,15.765
RLV GR Equity,1993-02-12,15.765
RLV GR Equity,1993-02-15,15.765
RLV GR Equity,1993-02-16,15.765
RLV GR Equity,1993-02-17,15.765
RLV GR Equity,1993-02-18,15.765
RLV GR Equity,1993-02-19,15.765
RLV GR Equity,1993-02-23,16.251
RLV GR Equity,1993-02-24,16.493
RLV GR Equity,1993-02-25,16.493
RLV GR Equity,1993-02-26,16.493
RLV GR Equity,1993-03-01,16.493
RLV GR Equity,1993-03-02,16.736
RLV GR Equity,1993-03-03,16.736
RLV GR Equity,1993-03-04,16.736
RLV GR Equity,1993-03-05,16.736
RLV GR Equity,1993-03-09,16.736
RLV GR Equity,1993-03-10,16.736
RLV GR Equity,1993-03-11,16.736
RLV GR Equity,1993-03-12,16.493
RLV GR Equity,1993-03-15,16.736
RLV GR Equity,1993-03-16,16.614
RLV GR Equity,1993-03-17,16.614
RLV GR Equity,1993-03-19,16.614
RLV GR Equity,1993-03-22,16.614
