name,date,PX_LAST
TLX GR Equity,2012-10-01,18.3
TLX GR Equity,2012-10-02,18.53
TLX GR Equity,2012-10-03,18.75
TLX GR Equity,2012-10-04,19.52
TLX GR Equity,2012-10-05,19.31
TLX GR Equity,2012-10-08,19.44
TLX GR Equity,2012-10-09,19.435
TLX GR Equity,2012-10-10,19.45
TLX GR Equity,2012-10-11,20.11
TLX GR Equity,2012-10-12,19.995
TLX GR Equity,2012-10-15,20.215
TLX GR Equity,2012-10-16,20.385
TLX GR Equity,2012-10-17,20.06
TLX GR Equity,2012-10-18,19.985
TLX GR Equity,2012-10-19,19.8
TLX GR Equity,2012-10-22,19.73
TLX GR Equity,2012-10-23,19.485
TLX GR Equity,2012-10-24,19.45
TLX GR Equity,2012-10-25,19.59
TLX GR Equity,2012-10-26,19.525
TLX GR Equity,2012-10-29,19.325
TLX GR Equity,2012-10-30,19.42
TLX GR Equity,2012-10-31,19.535
TLX GR Equity,2012-11-01,19.56
TLX GR Equity,2012-11-02,19.23
TLX GR Equity,2012-11-05,19.245
TLX GR Equity,2012-11-06,19.82
TLX GR Equity,2012-11-07,20.045
TLX GR Equity,2012-11-08,19.845
TLX GR Equity,2012-11-09,19.76
TLX GR Equity,2012-11-12,20.485
TLX GR Equity,2012-11-13,20.55
TLX GR Equity,2012-11-14,20.13
TLX GR Equity,2012-11-15,19.85
TLX GR Equity,2012-11-16,19.52
TLX GR Equity,2012-11-19,19.525
TLX GR Equity,2012-11-20,19.41
TLX GR Equity,2012-11-21,19.48
TLX GR Equity,2012-11-22,19.51
TLX GR Equity,2012-11-23,19.635
TLX GR Equity,2012-11-26,19.675
TLX GR Equity,2012-11-27,19.965
TLX GR Equity,2012-11-28,19.815
TLX GR Equity,2012-11-29,19.935
TLX GR Equity,2012-11-30,20.02
TLX GR Equity,2012-12-03,20.05
TLX GR Equity,2012-12-04,20.225
TLX GR Equity,2012-12-05,20.7
TLX GR Equity,2012-12-06,20.59
TLX GR Equity,2012-12-07,21.085
TLX GR Equity,2012-12-10,21.285
TLX GR Equity,2012-12-11,21.29
TLX GR Equity,2012-12-12,20.825
TLX GR Equity,2012-12-13,20.685
TLX GR Equity,2012-12-14,21.135
TLX GR Equity,2012-12-17,21.235
TLX GR Equity,2012-12-18,21.3
TLX GR Equity,2012-12-19,21.38
TLX GR Equity,2012-12-20,21.45
TLX GR Equity,2012-12-21,21.37
TLX GR Equity,2012-12-27,21.755
TLX GR Equity,2012-12-28,21.48
TLX GR Equity,2013-01-02,21.97
TLX GR Equity,2013-01-03,21.89
TLX GR Equity,2013-01-04,22.48
TLX GR Equity,2013-01-07,22.51
TLX GR Equity,2013-01-08,22.3
TLX GR Equity,2013-01-09,22.93
TLX GR Equity,2013-01-10,22.625
TLX GR Equity,2013-01-11,22.47
TLX GR Equity,2013-01-14,22.31
TLX GR Equity,2013-01-15,21.945
TLX GR Equity,2013-01-16,22.225
TLX GR Equity,2013-01-17,22.33
TLX GR Equity,2013-01-18,22.435
TLX GR Equity,2013-01-21,22.955
TLX GR Equity,2013-01-22,22.845
TLX GR Equity,2013-01-23,22.695
TLX GR Equity,2013-01-24,22.665
TLX GR Equity,2013-01-25,22.835
TLX GR Equity,2013-01-28,22.655
TLX GR Equity,2013-01-29,23.0
TLX GR Equity,2013-01-30,22.615
TLX GR Equity,2013-01-31,22.325
TLX GR Equity,2013-02-01,22.79
TLX GR Equity,2013-02-04,22.61
TLX GR Equity,2013-02-05,22.585
TLX GR Equity,2013-02-06,22.46
TLX GR Equity,2013-02-07,22.53
TLX GR Equity,2013-02-08,22.63
TLX GR Equity,2013-02-11,22.85
TLX GR Equity,2013-02-12,22.975
TLX GR Equity,2013-02-13,23.38
TLX GR Equity,2013-02-14,23.465
TLX GR Equity,2013-02-15,23.3
TLX GR Equity,2013-02-18,23.39
TLX GR Equity,2013-02-19,23.255
TLX GR Equity,2013-02-20,22.77
TLX GR Equity,2013-02-21,22.33
TLX GR Equity,2013-02-22,22.665
TLX GR Equity,2013-02-25,22.716
TLX GR Equity,2013-02-26,22.4
TLX GR Equity,2013-02-27,22.42
TLX GR Equity,2013-02-28,22.525
TLX GR Equity,2013-03-01,22.36
TLX GR Equity,2013-03-04,21.94
TLX GR Equity,2013-03-05,22.625
TLX GR Equity,2013-03-06,23.03
