name,date,PX_LAST
UQA AV Equity,1999-11-08,9.839
UQA AV Equity,1999-11-09,9.477
UQA AV Equity,1999-11-10,9.465
UQA AV Equity,1999-11-11,9.228
UQA AV Equity,1999-11-12,9.471
UQA AV Equity,1999-11-15,9.462
UQA AV Equity,1999-11-16,9.452
UQA AV Equity,1999-11-17,9.382
UQA AV Equity,1999-11-18,9.402
UQA AV Equity,1999-11-19,9.352
UQA AV Equity,1999-11-22,9.326
UQA AV Equity,1999-11-23,9.278
UQA AV Equity,1999-11-24,9.278
UQA AV Equity,1999-11-25,9.346
UQA AV Equity,1999-11-26,9.228
UQA AV Equity,1999-11-29,9.452
UQA AV Equity,1999-11-30,9.446
UQA AV Equity,1999-12-01,9.352
UQA AV Equity,1999-12-02,9.415
UQA AV Equity,1999-12-03,9.458
UQA AV Equity,1999-12-06,9.364
UQA AV Equity,1999-12-07,9.396
UQA AV Equity,1999-12-09,9.215
UQA AV Equity,1999-12-10,9.228
UQA AV Equity,1999-12-13,9.34
UQA AV Equity,1999-12-14,9.066
UQA AV Equity,1999-12-15,8.854
UQA AV Equity,1999-12-16,8.86
UQA AV Equity,1999-12-17,8.729
UQA AV Equity,1999-12-20,8.729
UQA AV Equity,1999-12-21,8.729
UQA AV Equity,1999-12-22,8.729
UQA AV Equity,1999-12-23,8.86
UQA AV Equity,1999-12-27,8.896
UQA AV Equity,1999-12-28,8.729
UQA AV Equity,1999-12-29,8.723
UQA AV Equity,2000-01-03,8.852
UQA AV Equity,2000-01-04,8.854
UQA AV Equity,2000-01-05,8.829
UQA AV Equity,2000-01-07,8.666
UQA AV Equity,2000-01-10,8.723
UQA AV Equity,2000-01-11,8.716
UQA AV Equity,2000-01-12,8.617
UQA AV Equity,2000-01-13,8.729
UQA AV Equity,2000-01-14,8.716
UQA AV Equity,2000-01-17,8.794
UQA AV Equity,2000-01-18,8.729
UQA AV Equity,2000-01-19,8.723
UQA AV Equity,2000-01-20,8.517
UQA AV Equity,2000-01-21,8.542
UQA AV Equity,2000-01-24,8.635
UQA AV Equity,2000-01-25,8.542
UQA AV Equity,2000-01-26,8.604
UQA AV Equity,2000-01-28,8.648
UQA AV Equity,2000-01-31,8.464
UQA AV Equity,2000-02-01,8.355
UQA AV Equity,2000-02-02,8.292
UQA AV Equity,2000-02-03,8.23
UQA AV Equity,2000-02-04,8.23
UQA AV Equity,2000-02-07,8.124
UQA AV Equity,2000-02-08,8.105
UQA AV Equity,2000-02-09,8.191
UQA AV Equity,2000-02-10,8.043
UQA AV Equity,2000-02-11,8.043
UQA AV Equity,2000-02-14,8.13
UQA AV Equity,2000-02-15,7.918
UQA AV Equity,2000-02-16,8.218
UQA AV Equity,2000-02-17,8.105
UQA AV Equity,2000-02-18,8.093
UQA AV Equity,2000-02-21,8.043
UQA AV Equity,2000-02-22,8.154
UQA AV Equity,2000-02-23,8.08
UQA AV Equity,2000-02-24,8.211
UQA AV Equity,2000-02-25,8.093
UQA AV Equity,2000-02-28,8.065
UQA AV Equity,2000-02-29,7.607
UQA AV Equity,2000-03-01,7.868
UQA AV Equity,2000-03-02,7.856
UQA AV Equity,2000-03-03,8.012
UQA AV Equity,2000-03-06,7.981
UQA AV Equity,2000-03-07,7.55
UQA AV Equity,2000-03-08,7.607
UQA AV Equity,2000-03-09,7.834
UQA AV Equity,2000-03-10,7.856
UQA AV Equity,2000-03-13,7.607
UQA AV Equity,2000-03-14,7.731
UQA AV Equity,2000-03-15,7.607
UQA AV Equity,2000-03-16,7.731
UQA AV Equity,2000-03-17,7.781
UQA AV Equity,2000-03-20,7.607
UQA AV Equity,2000-03-21,7.562
UQA AV Equity,2000-03-22,7.7
UQA AV Equity,2000-03-23,7.482
UQA AV Equity,2000-03-24,7.85
UQA AV Equity,2000-03-27,7.469
UQA AV Equity,2000-03-28,7.469
UQA AV Equity,2000-03-29,7.482
UQA AV Equity,2000-03-30,7.469
UQA AV Equity,2000-03-31,7.482
UQA AV Equity,2000-04-03,7.264
UQA AV Equity,2000-04-04,7.357
UQA AV Equity,2000-04-05,7.357
UQA AV Equity,2000-04-06,7.357
UQA AV Equity,2000-04-07,7.469
UQA AV Equity,2000-04-10,7.476
UQA AV Equity,2000-04-11,7.121
UQA AV Equity,2000-04-12,7.232
UQA AV Equity,2000-04-13,6.908
UQA AV Equity,2000-04-14,7.105
UQA AV Equity,2000-04-17,6.796
UQA AV Equity,2000-04-18,6.858
UQA AV Equity,2000-04-19,6.983
UQA AV Equity,2000-04-20,7.108
UQA AV Equity,2000-04-25,7.23
UQA AV Equity,2000-04-26,7.232
UQA AV Equity,2000-04-27,7.12
UQA AV Equity,2000-04-28,7.482
UQA AV Equity,2000-05-02,7.108
UQA AV Equity,2000-05-03,7.108
UQA AV Equity,2000-05-04,7.382
UQA AV Equity,2000-05-05,7.482
UQA AV Equity,2000-05-08,7.42
UQA AV Equity,2000-05-09,7.482
UQA AV Equity,2000-05-10,7.232
UQA AV Equity,2000-05-11,7.482
UQA AV Equity,2000-05-12,7.482
UQA AV Equity,2000-05-15,7.469
UQA AV Equity,2000-05-16,7.469
UQA AV Equity,2000-05-17,7.469
UQA AV Equity,2000-05-18,7.108
UQA AV Equity,2000-05-19,6.89
UQA AV Equity,2000-05-22,7.044
UQA AV Equity,2000-05-23,7.039
UQA AV Equity,2000-05-24,7.064
UQA AV Equity,2000-05-25,7.22
UQA AV Equity,2000-05-26,7.232
UQA AV Equity,2000-05-29,7.295
UQA AV Equity,2000-05-30,7.326
UQA AV Equity,2000-05-31,7.307
UQA AV Equity,2000-06-02,7.357
UQA AV Equity,2000-06-05,7.469
UQA AV Equity,2000-06-07,7.232
UQA AV Equity,2000-06-08,7.232
UQA AV Equity,2000-06-09,7.014
UQA AV Equity,2000-06-13,7.07
UQA AV Equity,2000-06-14,7.039
UQA AV Equity,2000-06-16,6.858
UQA AV Equity,2000-06-19,6.914
UQA AV Equity,2000-06-20,6.858
UQA AV Equity,2000-06-21,6.858
UQA AV Equity,2000-06-23,7.108
UQA AV Equity,2000-06-26,6.858
UQA AV Equity,2000-06-27,6.983
UQA AV Equity,2000-06-28,6.982
UQA AV Equity,2000-06-29,6.9
UQA AV Equity,2000-06-30,6.796
UQA AV Equity,2000-07-03,6.734
UQA AV Equity,2000-07-04,6.971
UQA AV Equity,2000-07-05,6.857
UQA AV Equity,2000-07-06,6.852
UQA AV Equity,2000-07-07,6.833
UQA AV Equity,2000-07-10,6.857
UQA AV Equity,2000-07-11,6.821
UQA AV Equity,2000-07-12,6.858
UQA AV Equity,2000-07-13,6.827
UQA AV Equity,2000-07-14,6.796
UQA AV Equity,2000-07-17,6.73
UQA AV Equity,2000-07-19,6.584
UQA AV Equity,2000-07-20,6.671
UQA AV Equity,2000-07-21,6.609
UQA AV Equity,2000-07-24,6.659
UQA AV Equity,2000-07-25,6.921
UQA AV Equity,2000-07-26,7.232
UQA AV Equity,2000-07-27,7.232
UQA AV Equity,2000-07-28,7.27
UQA AV Equity,2000-07-31,7.295
UQA AV Equity,2000-08-01,7.295
UQA AV Equity,2000-08-02,7.251
UQA AV Equity,2000-08-03,7.251
UQA AV Equity,2000-08-04,7.25
UQA AV Equity,2000-08-07,7.264
UQA AV Equity,2000-08-08,7.295
UQA AV Equity,2000-08-09,7.295
UQA AV Equity,2000-08-10,7.326
UQA AV Equity,2000-08-11,7.234
UQA AV Equity,2000-08-16,7.32
UQA AV Equity,2000-08-21,7.214
UQA AV Equity,2000-08-22,7.381
UQA AV Equity,2000-08-23,7.42
UQA AV Equity,2000-08-24,7.466
UQA AV Equity,2000-08-25,7.42
UQA AV Equity,2000-08-28,7.457
UQA AV Equity,2000-08-29,7.451
UQA AV Equity,2000-08-30,7.438
UQA AV Equity,2000-08-31,7.438
